"Statistic Label","Quarter","Employees Size","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Weekly Earnings","2012Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1247.31"
"Average Weekly Earnings","2012Q1","50 - 250","Administrative and support service activities (N)","Euro","517.8"
"Average Weekly Earnings","2012Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1049.27"
"Average Weekly Earnings","2012Q1","50 - 250","Education (P)","Euro","541.75"
"Average Weekly Earnings","2012Q1","50 - 250","Human health and social work activities (Q)","Euro","470.42"
"Average Weekly Earnings","2012Q1","50 - 250","Industry (B to E)","Euro","743.46"
"Average Weekly Earnings","2012Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1178.31"
"Average Weekly Earnings","2012Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","507.65"
"Average Weekly Earnings","2012Q2","50 - 250","All NACE economic sectors","Euro","639.53"
"Average Weekly Earnings","2012Q2","50 - 250","Construction (F)","Euro","901.67"
"Average Weekly Earnings","2012Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","572.76"
"Average Weekly Earnings","2012Q2","50 - 250","Transportation and storage (H)","Euro","689.23"
"Average Weekly Earnings","2012Q2","50 - 250","Accommodation and food service activities (I)","Euro","342.68"
"Average Weekly Earnings","2012Q2","50 - 250","Information and communication (J)","Euro","996.01"
"Average Weekly Earnings","2012Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","966.07"
"Average Weekly Earnings","2012Q2","50 - 250","Administrative and support service activities (N)","Euro","521.57"
"Average Weekly Earnings","2012Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1032.57"
"Average Weekly Earnings","2012Q2","50 - 250","Education (P)","Euro","562.44"
"Average Weekly Earnings","2012Q2","50 - 250","Human health and social work activities (Q)","Euro","474.52"
"Average Weekly Earnings","2012Q2","50 - 250","Industry (B to E)","Euro","734.2"
"Average Weekly Earnings","2012Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1097.12"
"Average Weekly Earnings","2012Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","499.64"
"Average Weekly Earnings","2012Q3","50 - 250","All NACE economic sectors","Euro","619.81"
"Average Weekly Earnings","2012Q3","50 - 250","Construction (F)","Euro","909.85"
"Average Weekly Earnings","2012Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","551.44"
"Average Weekly Earnings","2012Q3","50 - 250","Transportation and storage (H)","Euro","692.51"
"Average Weekly Earnings","2012Q3","50 - 250","Accommodation and food service activities (I)","Euro","362.68"
"Average Weekly Earnings","2012Q3","50 - 250","Information and communication (J)","Euro","949.34"
"Average Weekly Earnings","2012Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","980.28"
"Average Weekly Earnings","2012Q3","50 - 250","Administrative and support service activities (N)","Euro","518.03"
"Average Weekly Earnings","2012Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1061"
"Average Weekly Earnings","2012Q3","50 - 250","Education (P)","Euro","465.8"
"Average Weekly Earnings","2012Q3","50 - 250","Human health and social work activities (Q)","Euro","466.61"
"Average Weekly Earnings","2012Q3","50 - 250","Industry (B to E)","Euro","723.87"
"Average Weekly Earnings","2012Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1000.59"
"Average Weekly Earnings","2012Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","512.6"
"Average Weekly Earnings","2012Q4","50 - 250","All NACE economic sectors","Euro","650.71"
"Average Weekly Earnings","2012Q4","50 - 250","Construction (F)","Euro","960.69"
"Average Weekly Earnings","2012Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","563.16"
"Average Weekly Earnings","2012Q4","50 - 250","Transportation and storage (H)","Euro","710.77"
"Average Weekly Earnings","2012Q4","50 - 250","Accommodation and food service activities (I)","Euro","368.1"
"Average Weekly Earnings","2012Q4","50 - 250","Information and communication (J)","Euro","973.33"
"Average Weekly Earnings","2012Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","990.24"
"Average Weekly Earnings","2012Q4","50 - 250","Administrative and support service activities (N)","Euro","566.61"
"Average Weekly Earnings","2012Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1063.58"
"Average Weekly Earnings","2012Q4","50 - 250","Education (P)","Euro","573.5"
"Average Weekly Earnings","2012Q4","50 - 250","Human health and social work activities (Q)","Euro","489.09"
"Average Weekly Earnings","2012Q4","50 - 250","Industry (B to E)","Euro","760.7"
"Average Weekly Earnings","2012Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1002.84"
"Average Weekly Earnings","2012Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","509.52"
"Average Weekly Earnings","2013Q1","50 - 250","All NACE economic sectors","Euro","650.98"
"Average Weekly Earnings","2013Q1","50 - 250","Construction (F)","Euro","877.71"
"Average Weekly Earnings","2013Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","606.12"
"Average Weekly Earnings","2013Q1","50 - 250","Transportation and storage (H)","Euro","697.06"
"Average Weekly Earnings","2013Q1","50 - 250","Accommodation and food service activities (I)","Euro","324.15"
"Average Weekly Earnings","2013Q1","50 - 250","Information and communication (J)","Euro","1004.93"
"Average Weekly Earnings","2013Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1014.52"
"Average Weekly Earnings","2013Q1","50 - 250","Administrative and support service activities (N)","Euro","584.53"
"Average Weekly Earnings","2013Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1075.84"
"Average Weekly Earnings","2013Q1","50 - 250","Education (P)","Euro","544.93"
"Average Weekly Earnings","2013Q1","50 - 250","Human health and social work activities (Q)","Euro","443.44"
"Average Weekly Earnings","2013Q1","50 - 250","Industry (B to E)","Euro","749.9"
"Average Weekly Earnings","2013Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1186.81"
"Average Weekly Earnings","2013Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","524.26"
"Average Weekly Earnings","2013Q2","50 - 250","All NACE economic sectors","Euro","635.09"
"Average Weekly Earnings","2013Q2","50 - 250","Construction (F)","Euro","926.71"
"Average Weekly Earnings","2013Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","577.48"
"Average Weekly Earnings","2013Q2","50 - 250","Transportation and storage (H)","Euro","690.89"
"Average Weekly Earnings","2013Q2","50 - 250","Accommodation and food service activities (I)","Euro","353.5"
"Average Weekly Earnings","2013Q2","50 - 250","Information and communication (J)","Euro","952.09"
"Average Weekly Earnings","2013Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","937.31"
"Average Weekly Earnings","2013Q2","50 - 250","Administrative and support service activities (N)","Euro","530.54"
"Average Weekly Earnings","2013Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1077.58"
"Average Weekly Earnings","2013Q2","50 - 250","Education (P)","Euro","584.43"
"Average Weekly Earnings","2013Q2","50 - 250","Human health and social work activities (Q)","Euro","463.27"
"Average Weekly Earnings","2013Q2","50 - 250","Industry (B to E)","Euro","734.46"
"Average Weekly Earnings","2013Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1041.13"
"Average Weekly Earnings","2013Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","522.08"
"Average Weekly Earnings","2013Q3","50 - 250","All NACE economic sectors","Euro","621.59"
"Average Weekly Earnings","2013Q3","50 - 250","Construction (F)","Euro","940.3"
"Average Weekly Earnings","2013Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","562.07"
"Average Weekly Earnings","2013Q3","50 - 250","Transportation and storage (H)","Euro","705.84"
"Average Weekly Earnings","2013Q3","50 - 250","Accommodation and food service activities (I)","Euro","358.32"
"Average Weekly Earnings","2013Q3","50 - 250","Information and communication (J)","Euro","936.44"
"Average Weekly Earnings","2013Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","922.89"
"Average Weekly Earnings","2013Q3","50 - 250","Administrative and support service activities (N)","Euro","563.49"
"Average Weekly Earnings","2013Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1061.25"
"Average Weekly Earnings","2013Q3","50 - 250","Education (P)","Euro","448.43"
"Average Weekly Earnings","2013Q3","50 - 250","Human health and social work activities (Q)","Euro","464.41"
"Average Weekly Earnings","2013Q3","50 - 250","Industry (B to E)","Euro","729.26"
"Average Weekly Earnings","2013Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","996.3"
"Average Weekly Earnings","2013Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","521.51"
"Average Weekly Earnings","2013Q4","50 - 250","All NACE economic sectors","Euro","647.11"
"Average Weekly Earnings","2013Q4","50 - 250","Construction (F)","Euro","962.22"
"Average Weekly Earnings","2013Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","578.81"
"Average Weekly Earnings","2013Q4","50 - 250","Transportation and storage (H)","Euro","779.02"
"Average Weekly Earnings","2013Q4","50 - 250","Accommodation and food service activities (I)","Euro","357.41"
"Average Weekly Earnings","2013Q4","50 - 250","Information and communication (J)","Euro","975.99"
"Average Weekly Earnings","2013Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","944.47"
"Average Weekly Earnings","2013Q4","50 - 250","Administrative and support service activities (N)","Euro","566.23"
"Average Weekly Earnings","2013Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1052.95"
"Average Weekly Earnings","2013Q4","50 - 250","Education (P)","Euro","562.73"
"Average Weekly Earnings","2013Q4","50 - 250","Human health and social work activities (Q)","Euro","489.95"
"Average Weekly Earnings","2013Q4","50 - 250","Industry (B to E)","Euro","761.56"
"Average Weekly Earnings","2013Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1016.33"
"Average Weekly Earnings","2013Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","569.49"
"Average Weekly Earnings","2014Q1","50 - 250","All NACE economic sectors","Euro","637.75"
"Average Weekly Earnings","2014Q1","50 - 250","Construction (F)","Euro","876.06"
"Average Weekly Earnings","2014Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","562.63"
"Average Weekly Earnings","2014Q1","50 - 250","Transportation and storage (H)","Euro","698.72"
"Average Weekly Earnings","2014Q1","50 - 250","Accommodation and food service activities (I)","Euro","327.61"
"Average Weekly Earnings","2014Q1","50 - 250","Information and communication (J)","Euro","983.12"
"Average Weekly Earnings","2014Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","965.9"
"Average Weekly Earnings","2014Q1","50 - 250","Administrative and support service activities (N)","Euro","599.83"
"Average Weekly Earnings","2014Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1077.66"
"Average Weekly Earnings","2014Q1","50 - 250","Education (P)","Euro","554.42"
"Average Weekly Earnings","2014Q1","50 - 250","Human health and social work activities (Q)","Euro","458.43"
"Average Weekly Earnings","2014Q1","50 - 250","Industry (B to E)","Euro","750.08"
"Average Weekly Earnings","2014Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1148.66"
"Average Weekly Earnings","2014Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","555.33"
"Average Weekly Earnings","2014Q2","50 - 250","All NACE economic sectors","Euro","634.91"
"Average Weekly Earnings","2014Q2","50 - 250","Construction (F)","Euro","855.76"
"Average Weekly Earnings","2014Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","581.25"
"Average Weekly Earnings","2014Q2","50 - 250","Transportation and storage (H)","Euro","711.83"
"Average Weekly Earnings","2014Q2","50 - 250","Accommodation and food service activities (I)","Euro","354.75"
"Average Weekly Earnings","2014Q2","50 - 250","Information and communication (J)","Euro","962.31"
"Average Weekly Earnings","2014Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","936.4"
"Average Weekly Earnings","2014Q2","50 - 250","Administrative and support service activities (N)","Euro","579.03"
"Average Weekly Earnings","2014Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1115.57"
"Average Weekly Earnings","2014Q2","50 - 250","Education (P)","Euro","530.9"
"Average Weekly Earnings","2014Q2","50 - 250","Human health and social work activities (Q)","Euro","469.76"
"Average Weekly Earnings","2014Q2","50 - 250","Industry (B to E)","Euro","756.35"
"Average Weekly Earnings","2014Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1032.01"
"Average Weekly Earnings","2014Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","520.2"
"Average Weekly Earnings","2014Q3","50 - 250","All NACE economic sectors","Euro","625.78"
"Average Weekly Earnings","2014Q3","50 - 250","Construction (F)","Euro","900.43"
"Average Weekly Earnings","2014Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","571.11"
"Average Weekly Earnings","2014Q3","50 - 250","Transportation and storage (H)","Euro","708.5"
"Average Weekly Earnings","2014Q3","50 - 250","Accommodation and food service activities (I)","Euro","358.34"
"Average Weekly Earnings","2014Q3","50 - 250","Information and communication (J)","Euro","954.79"
"Average Weekly Earnings","2014Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","935.35"
"Average Weekly Earnings","2014Q3","50 - 250","Administrative and support service activities (N)","Euro","587.4"
"Average Weekly Earnings","2014Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1106.35"
"Average Weekly Earnings","2014Q3","50 - 250","Education (P)","Euro","400.02"
"Average Weekly Earnings","2014Q3","50 - 250","Human health and social work activities (Q)","Euro","474.72"
"Average Weekly Earnings","2014Q3","50 - 250","Industry (B to E)","Euro","746.92"
"Average Weekly Earnings","2014Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1014.34"
"Average Weekly Earnings","2014Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","546.23"
"Average Weekly Earnings","2014Q4","50 - 250","All NACE economic sectors","Euro","653.43"
"Average Weekly Earnings","2014Q4","50 - 250","Construction (F)","Euro","918.74"
"Average Weekly Earnings","2014Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","595.32"
"Average Weekly Earnings","2014Q4","50 - 250","Transportation and storage (H)","Euro","726.93"
"Average Weekly Earnings","2014Q4","50 - 250","Accommodation and food service activities (I)","Euro","353.61"
"Average Weekly Earnings","2014Q4","50 - 250","Information and communication (J)","Euro","983.12"
"Average Weekly Earnings","2014Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","982.54"
"Average Weekly Earnings","2014Q4","50 - 250","Administrative and support service activities (N)","Euro","608.07"
"Average Weekly Earnings","2014Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1102.83"
"Average Weekly Earnings","2014Q4","50 - 250","Education (P)","Euro","568.79"
"Average Weekly Earnings","2014Q4","50 - 250","Human health and social work activities (Q)","Euro","489.57"
"Average Weekly Earnings","2014Q4","50 - 250","Industry (B to E)","Euro","767.83"
"Average Weekly Earnings","2014Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1039.36"
"Average Weekly Earnings","2014Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","546.71"
"Average Weekly Earnings","2015Q1","50 - 250","All NACE economic sectors","Euro","650.22"
"Average Weekly Earnings","2015Q1","50 - 250","Construction (F)","Euro","883.64"
"Average Weekly Earnings","2015Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","577.73"
"Average Weekly Earnings","2015Q1","50 - 250","Transportation and storage (H)","Euro","674.85"
"Average Weekly Earnings","2015Q1","50 - 250","Accommodation and food service activities (I)","Euro","322.18"
"Average Weekly Earnings","2015Q1","50 - 250","Information and communication (J)","Euro","1064.25"
"Average Weekly Earnings","2015Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1002.59"
"Average Weekly Earnings","2015Q1","50 - 250","Administrative and support service activities (N)","Euro","543.61"
"Average Weekly Earnings","2015Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1109.45"
"Average Weekly Earnings","2015Q1","50 - 250","Education (P)","Euro","539.12"
"Average Weekly Earnings","2015Q1","50 - 250","Human health and social work activities (Q)","Euro","468.84"
"Average Weekly Earnings","2015Q1","50 - 250","Industry (B to E)","Euro","756.85"
"Average Weekly Earnings","2015Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1267.02"
"Average Weekly Earnings","2015Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","550.16"
"Average Weekly Earnings","2015Q2","50 - 250","All NACE economic sectors","Euro","657.69"
"Average Weekly Earnings","2015Q2","50 - 250","Construction (F)","Euro","907.25"
"Average Weekly Earnings","2015Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","593.32"
"Average Weekly Earnings","2015Q2","50 - 250","Transportation and storage (H)","Euro","710.14"
"Average Weekly Earnings","2015Q2","50 - 250","Accommodation and food service activities (I)","Euro","353.02"
"Average Weekly Earnings","2015Q2","50 - 250","Information and communication (J)","Euro","1067.42"
"Average Weekly Earnings","2015Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","958.07"
"Average Weekly Earnings","2015Q2","50 - 250","Administrative and support service activities (N)","Euro","599.98"
"Average Weekly Earnings","2015Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1090.46"
"Average Weekly Earnings","2015Q2","50 - 250","Education (P)","Euro","573.96"
"Average Weekly Earnings","2015Q2","50 - 250","Human health and social work activities (Q)","Euro","491.77"
"Average Weekly Earnings","2015Q2","50 - 250","Industry (B to E)","Euro","756.76"
"Average Weekly Earnings","2015Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1109.41"
"Average Weekly Earnings","2015Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","598.71"
"Average Weekly Earnings","2015Q3","50 - 250","All NACE economic sectors","Euro","651.06"
"Average Weekly Earnings","2015Q3","50 - 250","Construction (F)","Euro","891.9"
"Average Weekly Earnings","2015Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","578.67"
"Average Weekly Earnings","2015Q3","50 - 250","Transportation and storage (H)","Euro","720.23"
"Average Weekly Earnings","2015Q3","50 - 250","Accommodation and food service activities (I)","Euro","363.36"
"Average Weekly Earnings","2015Q3","50 - 250","Information and communication (J)","Euro","1020.52"
"Average Weekly Earnings","2015Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","938.99"
"Average Weekly Earnings","2015Q3","50 - 250","Administrative and support service activities (N)","Euro","597.58"
"Average Weekly Earnings","2015Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1106.76"
"Average Weekly Earnings","2015Q3","50 - 250","Education (P)","Euro","552.17"
"Average Weekly Earnings","2015Q3","50 - 250","Human health and social work activities (Q)","Euro","477.78"
"Average Weekly Earnings","2015Q3","50 - 250","Industry (B to E)","Euro","757.1"
"Average Weekly Earnings","2015Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1029.95"
"Average Weekly Earnings","2015Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","576.94"
"Average Weekly Earnings","2015Q4","50 - 250","All NACE economic sectors","Euro","667.29"
"Average Weekly Earnings","2015Q4","50 - 250","Construction (F)","Euro","898.54"
"Average Weekly Earnings","2015Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","593"
"Average Weekly Earnings","2015Q4","50 - 250","Transportation and storage (H)","Euro","692.88"
"Average Weekly Earnings","2015Q4","50 - 250","Accommodation and food service activities (I)","Euro","361.9"
"Average Weekly Earnings","2015Q4","50 - 250","Information and communication (J)","Euro","1036.99"
"Average Weekly Earnings","2015Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","942.57"
"Average Weekly Earnings","2015Q4","50 - 250","Administrative and support service activities (N)","Euro","645.14"
"Average Weekly Earnings","2015Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1096.17"
"Average Weekly Earnings","2015Q4","50 - 250","Education (P)","Euro","568.91"
"Average Weekly Earnings","2015Q4","50 - 250","Human health and social work activities (Q)","Euro","503.12"
"Average Weekly Earnings","2015Q4","50 - 250","Industry (B to E)","Euro","796.08"
"Average Weekly Earnings","2015Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1103.01"
"Average Weekly Earnings","2015Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","570.72"
"Average Weekly Earnings","2016Q1","50 - 250","All NACE economic sectors","Euro","667.13"
"Average Weekly Earnings","2016Q1","50 - 250","Construction (F)","Euro","894.79"
"Average Weekly Earnings","2016Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","587.38"
"Average Weekly Earnings","2016Q1","50 - 250","Transportation and storage (H)","Euro","674.62"
"Average Weekly Earnings","2016Q1","50 - 250","Accommodation and food service activities (I)","Euro","341.91"
"Average Weekly Earnings","2016Q1","50 - 250","Information and communication (J)","Euro","1113.47"
"Average Weekly Earnings","2016Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","976.6"
"Average Weekly Earnings","2016Q1","50 - 250","Administrative and support service activities (N)","Euro","615.84"
"Average Weekly Earnings","2016Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1068.55"
"Average Weekly Earnings","2016Q1","50 - 250","Education (P)","Euro","532.17"
"Average Weekly Earnings","2016Q1","50 - 250","Human health and social work activities (Q)","Euro","473"
"Average Weekly Earnings","2016Q1","50 - 250","Industry (B to E)","Euro","790.76"
"Average Weekly Earnings","2016Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1356.9"
